NumberOfElements	Complex_Access	Complex_StdDev	Complex_StdErr	Cached_Access	Cached_StdDev	Cached_StdErr	Continuous_Access	Continuous_StdDev	Continuous_StdErr	Constant_Access	Constant_StdDev
8.9129e+06	29444.7	54.1322	7.65545	2100.96	0.723123	0.102265	3273.51	13.2725	1.87702	1296.33	69.1287	9.77628
9.04397e+06	29890.6	68.6979	9.71535	2131.78	0.784223	0.110906	3323.95	5.88852	0.832763	1298.95	79.3423	11.2207
9.17504e+06	30314.2	79.6135	11.259	2311.73	0.749868	0.106047	3498.38	8.25424	1.16733	1313.96	83.2619	11.775
9.30611e+06	30754	70.6114	9.98596	2193.25	1.05496	0.149194	3567.76	16.1574	2.285	1337.98	79.032	11.1768
9.43718e+06	31183.6	60.4802	8.55319	2223.6	0.770689	0.108992	3462.09	6.42134	0.908115	1364.82	84.7647	11.9875
9.56826e+06	31631.3	45.4522	6.42791	2414.07	4.16564	0.58911	3672.31	7.03569	0.994996	1390.41	68.2106	9.64643
9.69933e+06	32047.3	49.2968	6.97163	2451.19	0.753838	0.106609	3709.65	25.2357	3.56886	1394.15	89.367	12.6384
9.8304e+06	32510.3	46.9937	6.64592	2313.64	2.76662	0.391259	3607.77	7.53444	1.06553	1421.32	89.1569	12.6087
9.96147e+06	32925.1	41.6366	5.88831	2515.34	3.08134	0.435768	3655.65	6.92232	0.978963	1445.11	81.3713	11.5076
1.00925e+07	33382	42.05	5.94677	2370.12	1.15775	0.16373	3702.97	5.85934	0.828636	1474.35	49.9255	7.06053
1.02236e+07	33807	42.3918	5.99511	2573.55	0.834741	0.11805	3914.04	15.9237	2.25195	1487.39	76.5424	10.8247
1.03547e+07	34227.7	45.4056	6.42133	2437.61	0.930368	0.131574	3803.14	7.75279	1.09641	1508.95	58.7454	8.30785
1.04858e+07	34696.7	51.3937	7.26817	2467.8	1.00587	0.142252	3852.65	6.96511	0.985015	1513.18	84.7525	11.9858
1.06168e+07	35110.6	52.325	7.39988	2498.73	1.15974	0.164012	3901.25	6.88467	0.97364	1549.09	81.3571	11.5056
1.07479e+07	35545.6	66.1785	9.35906	2529.09	1.05569	0.149297	3947.03	4.95915	0.70133	1577.53	54.5858	7.7196
1.0879e+07	36015.6	77.7068	10.9894	2559.43	0.793544	0.112224	3997.92	6.75371	0.955119	1576.09	85.3671	12.0727
1.101e+07	36466.4	83.4712	11.8046	2769.77	0.896567	0.126794	4046.95	7.70314	1.08939	1608.88	74.5065	10.5368
1.11411e+07	36907.8	84.1572	11.9016	2621.08	1.09441	0.154773	4091.98	8.15674	1.15354	1611.72	80.8362	11.432
1.12722e+07	37317.1	75.9433	10.74	2651.38	1.13795	0.160931	4141.87	8.52915	1.2062	1639.35	76.68	10.8442
1.14033e+07	37762.1	59.8243	8.46043	2681.75	0.880083	0.124463	4186.29	11.5575	1.63448	1654.81	94.2634	13.3309
1.15343e+07	38214.3	48.4318	6.84929	2712.59	1.17741	0.166511	4232.17	8.34772	1.18055	1693.06	37.2276	5.26478
1.16654e+07	38615.6	71.0089	10.0422	2742.77	0.871173	0.123202	4476.94	9.32998	1.31946	1689.6	75.2169	10.6373
1.17965e+07	39034.2	89.7289	12.6896	2965.98	0.70865	0.100218	4526.91	18.0286	2.54962	1708.02	93.0926	13.1653
1.19276e+07	39511.4	97.8119	13.8327	2998.9	0.770351	0.108944	4546.06	16.4208	2.32226	1725.01	74.8468	10.5849
1.20586e+07	39959.9	92.6703	13.1056	2834.62	0.963644	0.13628	4597.46	11.9968	1.6966	1747.21	98.6943	13.9575
1.21897e+07	40353.7	96.6812	13.6728	2865.26	1.10095	0.155698	4473.9	8.12852	1.14955	1765.62	110.01	15.5577
1.23208e+07	40817.2	78.1223	11.0482	2895.93	0.887215	0.125471	4706.63	22.3212	3.15669	1772.18	106.475	15.0578
1.24518e+07	41243.1	72.878	10.3065	3129.57	0.669486	0.0946796	4750.59	31.5098	4.45616	1800.17	99.2256	14.0326
