NumOps	Add	AddStdDev	AddStdErr	Sub	SubStdDev	SubStdErr	Mul	MulStdDev	MulStdErr	Div	DivStdDev	DivStdErr
81	287.25	57.7628	8.168900000000001	293.179	71.93259999999999	10.1728	278.84	62.6111	8.85455	142.604	54.0699	7.64664
82	308.874	79.2274	11.2044	322.222	77.453	10.9535	300.435	60.7484	8.59112	137.24	50.5759	7.15251
83	300.477	61.1609	8.649459999999999	322.059	88.16849999999999	12.4689	293.676	54.4282	7.69731	136.756	51.6415	7.30322
84	308.055	79.10129999999999	11.1866	312.598	79.63420000000001	11.262	293.382	61.1288	8.644920000000001	143.098	65.6824	9.2889
85	298.996	53.7649	7.6035	321.79	90.90860000000001	12.8564	316.328	82.1566	11.6187	148.138	66.7004	9.43286
86	281.119	57.6958	8.159420000000001	299.806	86.1011	12.1765	303.069	66.35080000000001	9.383419999999999	159.175	63.3374	8.95726
87	304.659	78.33669999999999	11.0785	280.049	55.836	7.8964	321.5	80.4927	11.3834	157.824	70.1413	9.91948
88	273.317	46.5251	6.57965	304.552	78.03619999999999	11.036	306.106	66.8822	9.45857	140.165	55.3505	7.82775
89	300.006	62.2845	8.80836	315.551	79.1399	11.1921	310.185	74.5492	10.5428	145.728	63.4849	8.978120000000001
90	317.078	82.35039999999999	11.6461	312.301	70.92829999999999	10.0308	269.748	43.8492	6.20121	151.462	69.3899	9.813219999999999
91	306.26	62.8133	8.883139999999999	307.985	85.89449999999999	12.1473	284.846	62.6389	8.858470000000001	158.455	71.98269999999999	10.1799
92	300.155	70.04130000000001	9.905340000000001	305.018	65.67619999999999	9.288019999999999	293.332	68.1234	9.63411	146.553	53.6254	7.58377
93	296.165	67.6301	9.56434	313.916	87.2539	12.3396	288.797	68.22920000000001	9.64907	154.166	64.57729999999999	9.13261
94	280.347	57.0833	8.072800000000001	313.957	74.6238	10.5534	308.11	76.1407	10.7679	136.671	51.1876	7.23902
95	285.617	65.92189999999999	9.322760000000001	300.915	63.8514	9.029949999999999	312.271	86.17230000000001	12.1866	145.425	64.2987	9.093209999999999
96	317.856	81.9345	11.5873	306.221	79.80410000000001	11.286	290.029	60.8543	8.6061	151.09	61.8935	8.75306
97	330.437	88.3111	12.4891	303.587	72.19029999999999	10.2093	275.459	56.9962	8.06048	153.832	66.68689999999999	9.430949999999999
98	321.462	77.651	10.9815	320.556	71.9738	10.1786	317.201	72.89279999999999	10.3086	142.868	56.7289	8.022679999999999
99	296.194	65.88330000000001	9.317310000000001	308.874	71.3952	10.0968	297.553	72.4663	10.2483	150.186	66.0852	9.34586
100	308.058	76.0078	10.7491	313.087	78.6519	11.1231	316.584	79.6408	11.2629	150.553	63.3826	8.963649999999999
101	282.502	51.4932	7.28224	310.437	75.9004	10.7339	324.098	78.18600000000001	11.0572	149.74	63.0377	8.91488
102	285.751	54.386	7.69135	285.375	55.2924	7.81953	302.474	74.09699999999999	10.4789	148.419	61.1308	8.645200000000001
103	288.419	56.8687	8.042450000000001	282.829	53.2967	7.5373	321.862	84.77630000000001	11.9892	140.846	58.8875	8.32795
104	321.674	76.0521	10.7554	318.443	77.5324	10.9647	298.296	72.5712	10.2631	137.312	54.7799	7.74705
105	324.364	88.7119	12.5458	280.55	63.3996	8.966060000000001	288.213	66.3173	9.378679999999999	147.929	60.7055	8.58506
106	309.944	74.40819999999999	10.5229	325.26	77.2449	10.9241	300.268	76.74160000000001	10.8529	129.349	39.3289	5.56195
107	313.713	78.4858	11.0996	318.258	84.54640000000001	11.9567	300.518	72.8655	10.3047	145.005	57.1726	8.085430000000001
108	309.937	73.78189999999999	10.4343	295.811	66.18510000000001	9.35999	308.977	83.8471	11.8578	173.046	77.047	10.8961
109	308.822	76.9422	10.8813	302.454	70.98950000000001	10.0394	304.906	84.9524	12.0141	147.356	67.3241	9.52107
110	295.876	66.273	9.37242	297.007	76.37730000000001	10.8014	298.409	66.6147	9.42074	137.5	54.3234	7.68249
111	311.069	67.7899	9.58694	306.525	58.7643	8.31053	296.402	65.7616	9.300090000000001	140.783	58.4815	8.270530000000001
112	306.016	83.503	11.8091	312.18	76.7611	10.8557	328.691	90.3296	12.7745	130.115	47.2805	6.68647
113	309.923	84.0466	11.886	290.301	43.409	6.13896	286.154	64.9085	9.179449999999999	131.121	42.5518	6.01774
114	312.222	78.8784	11.1551	302.894	61.8014	8.74004	286.929	51.6452	7.30374	137.798	48.4826	6.85647
115	308.798	85.5692	12.1013	329.325	86.107	12.1774	282.513	53.054	7.50297	159.027	73.7505	10.4299
116	320.75	64.6996	9.149900000000001	309.32	75.1923	10.6338	300.614	75.1058	10.6216	151.187	60.1088	8.50067
117	299.595	65.88549999999999	9.31761	307.904	82.84990000000001	11.7167	290.434	58.4023	8.25933	144.353	61.6527	8.719010000000001
118	325.31	80.221	11.345	290.077	56.0895	7.93225	301.884	73.3831	10.3779	134.045	48.0162	6.79051
119	302.251	62.6175	8.855449999999999	328.157	84.6695	11.9741	282.452	60.1192	8.502140000000001	137.254	56.4142	7.97817
120	296.226	66.50839999999999	9.405709999999999	328.764	87.91849999999999	12.4336	300.008	66.6559	9.42657	160.313	76.182	10.7738
121	302.492	63.7633	9.0175	303.073	65.3083	9.235989999999999	272.557	39.9701	5.65263	128.099	40.22	5.68797
122	302.758	65.3865	9.24705	295.439	63.0121	8.911250000000001	280.566	46.5687	6.5858	128.595	42.8164	6.05515
123	324.957	74.5423	10.5419	267.867	24.6345	3.48385	313.672	81.72580000000001	11.5578	130.826	43.47	6.14758
124	288.638	54.4185	7.69594	300.14	65.73439999999999	9.296250000000001	321.496	83.2174	11.7687	133.174	41.1528	5.81989
125	315.419	88.8925	12.5713	344.698	99.83969999999999	14.1195	304.243	74.9688	10.6022	126.465	41.3057	5.8415
126	296.007	52.9369	7.48641	299.862	63.0449	8.915900000000001	265.48	22.4697	3.17769	130.637	44.3778	6.27597
127	315.915	72.1734	10.2069	294.581	56.7593	8.02697	295.236	57.2748	8.099880000000001	141.098	60.5848	8.56798
128	314.522	82.5617	11.676	335.025	94.0573	13.3017	275.619	40.017	5.65926	139.867	49.4569	6.99426
