TestNumber	Time	StdDev StdErr
378	2383.81	59.3275	8.39017
379	3105.45	59.023	8.34712
380	2911.27	53.5015	7.56625
381	3096.22	66.4617	9.39911
382	3153.43	61.1125	8.64262
383	2139.42	59.6202	8.43157
384	3158.11	69.1316	9.77669
385	151.657	23.8416	2.38416
386	3199.44	69.7439	9.86328
387	3105.68	77.0244	10.8929
388	3116.92	69.5053	9.82954
389	3074.68	81.9679	11.592
390	3144.95	78.7499	11.1369
391	3119.8	79.3138	11.2167
392	2436.91	74.5099	10.5373
393	3065.9	82.0863	11.6088
394	3099.48	85.0259	12.0245
395	3164.59	88.5785	12.5269
396	3130.08	91.8655	12.9917
397	3113.68	85.3556	12.0711
398	3239.75	101.65	14.3755
399	3120.81	98.5684	13.9397
400	2279.72	59.1791	8.36919
