NumOps	Add	AddStdDev	AddStdErr	Sub	SubStdDev	SubStdErr	Mul	MulStdDev	MulStdErr	Div	DivStdDev	DivStdErr
104	1181.74	0.978169	0.138334	1181.92	1.16348	0.164542	1181.94	1.17742	0.166512	1181.78	1.05347	0.148983
105	1192.48	1.00389	0.141971	1192.27	1.03125	0.145841	1192.17	0.922127	0.130408	1192.48	1.13681	0.160769
106	1202.76	1.1971	0.169296	1203.26	1.19041	0.168349	1203.1	1.08486	0.153423	1203.13	1.20356	0.170209
107	1213.22	0.958836	0.1356	1213.36	0.926239	0.13099	1213.21	0.935239	0.132263	1212.95	0.84352	0.119292
108	1223.66	1.05551	0.149272	1223.97	0.987283	0.139623	1223.92	1.04543	0.147846	1223.92	1.04178	0.147329
109	1233.82	0.939837	0.132913	1234.28	0.927249	0.131133	1234.11	0.672892	0.0951613	1234.28	0.793308	0.112191
110	1244.79	1.0537	0.149016	1245.02	1.15218	0.162943	1244.89	1.08605	0.153591	1245.03	1.03452	0.146303
111	1255.36	1.04428	0.147684	1255.59	1.09293	0.154563	1255.54	1.22561	0.173328	1255.58	1.08589	0.153568
112	1265.72	1.01859	0.14405	1266.14	1.07946	0.152658	1265.88	1.01422	0.143432	1266.17	1.23362	0.17446
113	1276.15	0.705547	0.0997794	1276.47	0.935761	0.132337	1276.41	1.0876	0.15381	1276.48	0.890719	0.125967
114	1286.76	0.755348	0.106822	1286.84	0.93803	0.132657	1286.58	0.775074	0.109612	1286.68	0.895429	0.126633
115	1297.04	0.807317	0.114172	1297.03	0.655243	0.0926653	1297.03	0.687983	0.0972955	1297.1	0.820476	0.116033
116	1307.81	0.911666	0.128929	1307.53	0.695503	0.0983589	1307.64	0.876752	0.123992	1307.52	0.803375	0.113614
117	1318.2	0.775825	0.109718	1318.05	0.653382	0.0924021	1318.21	1.07767	0.152405	1317.85	0.919614	0.130053
118	1328.75	0.83853	0.118586	1328.59	0.920209	0.130137	1328.52	0.704445	0.0996236	1328.67	0.904969	0.127982
119	1339.27	0.962235	0.136081	1339.28	0.878364	0.124219	1339.22	0.852916	0.120621	1339.14	1.0131	0.143274
120	1349.61	0.794643	0.11238	1349.81	1.00086	0.141543	1349.75	0.844014	0.119362	1349.77	0.722658	0.102199
121	1360.28	0.86537	0.122382	1360.4	1.05049	0.148561	1360.36	0.891765	0.126115	1360.36	0.790848	0.111843
122	1370.63	0.652693	0.0923047	1370.75	0.812596	0.114918	1370.87	1.02507	0.144967	1370.65	0.931862	0.131785
123	1381.24	0.728276	0.102994	1381.58	1.00797	0.142548	1381.46	0.825361	0.116724	1381.09	0.827293	0.116997
124	1391.68	0.88271	0.124834	1391.78	0.976913	0.138156	1391.8	0.950591	0.134434	1391.88	1.01594	0.143676
125	1402.77	1.04726	0.148104	1402.7	1.15924	0.163942	1402.69	1.02527	0.144995	1402.95	1.12395	0.158951
126	1413.32	1.05328	0.148957	1413.06	1.0993	0.155464	1413.25	1.23152	0.174163	1413.21	1.02803	0.145385
127	1423.61	1.15278	0.163027	1423.46	0.994706	0.140673	1423.61	0.95955	0.135701	1423.92	1.19471	0.168958
128	1433.99	0.949445	0.134272	1434.02	1.08633	0.153631	1434.03	1.13281	0.160204	1434.27	1.12018	0.158417
